,@context.0,@type.0,@type.1,@type.2,alternateName.1,claimReviewed.0,datePublished.0,datePublished.1,lang.0,name.1,url.0,url.1,url.2
0,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Senza prove'],['Queste auto sono state bruciate da rifugiati ucraini per motivazioni politiche legate alla guerra in Russia'],['2022-04-28'],['2022-04-25'],['it'],['Facta'],['https://facta.news/antibufale/2022/04/28/lincendio-di-queste-auto-non-e-collegabile-ai-rifugiati-ucraini-o-alla-guerra/'],['https://facta.news/'],
1,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",['CreativeWork'],['Notizia falsa'],"['Stanno somministrando alle mucche il vaccino mRNA Che passerà il vaccino nel latte, nel formaggio, ecc']",['2022-10-18'],['2022-10-14'],['it'],['Facta'],['https://facta.news/notizia-falsa/2022/10/18/vaccino-mrna-mucche-latte/'],['https://facta.news/'],['https://www.italiador.com/cellule-di-feto-abortito-per-creare-aromi-alimentari/']
